matchID,map,p_model,mc_mean,mc_se
2368431,Overpass,0.4955334816562648,0.5038,0.5000355658484931
2368403,Nuke,0.38654152749970705,0.3906,0.48793365927262106
2368403,Mirage,0.682685636592641,0.69,0.4625394994567616
2368403,Ancient,0.5297994627892837,0.5408,0.4983824204437808
2368555,Inferno,0.6490813469766313,0.6552,0.47535055656886116
2368555,Vertigo,0.5407257330036057,0.5514,0.4974007654842329
2368555,Overpass,0.4783633102418426,0.4868,0.4998757197014368
2368489,Inferno,0.5494624993245337,0.5584,0.4966273932774457
2368489,Ancient,0.5463771243185964,0.5556,0.4969487213046445
2368489,Overpass,0.5168160151365826,0.5272,0.4993095452766759
2368496,Overpass,0.5694372941305925,0.5802,0.493575407953706
2368496,Mirage,0.3602528022795326,0.3682,0.48236427630890305
2368430,Nuke,0.5785634273846691,0.5866,0.4924925885634808
2368430,Overpass,0.5602207007026363,0.57,0.4951252667820147
2368554,Inferno,0.650506791963223,0.6568,0.4748250749174417
2368554,Anubis,0.6264372071715429,0.6346,0.4815903091271346
2368433,Overpass,0.38007851263368286,0.386,0.4868792563686159
2368433,Ancient,0.6990451769245009,0.7042,0.4564471807402924
2368426,Overpass,0.536950952925698,0.5482,0.4977211119302176
2368426,Mirage,0.38721146685928903,0.3908,0.4879784673496561
2368426,Ancient,0.6538062009222347,0.6616,0.4732126647134553
2368428,Ancient,0.5205483130021927,0.5318,0.4990376415798138
2368428,Vertigo,0.4343456476131381,0.4384,0.4962405575305062
2368427,Vertigo,0.5229882478398082,0.535,0.4988233805195889
2368427,Anubis,0.41035717626338314,0.4142,0.49263261907782346
2368191,Default,0.6819451049121147,0.6888,0.4630307111714056
2368191,TBA,0.12994930750204903,0.1298,0.33611687686128194
2368401,Inferno,0.56006074459524,0.57,0.4951252667820147
2368401,Anubis,0.6063674105343033,0.6156,0.48650177470936223
2368539,Inferno,0.5565820587589058,0.5674,0.495485964754052
2368539,Mirage,0.5509664143674771,0.56,0.4964365919812636
2368539,Overpass,0.6139022051447002,0.6226,0.4847847390839048
2368429,Overpass,0.5388318139657823,0.5498,0.4975635375454867
2368429,Anubis,0.5438083339364806,0.5536,0.497168457663053
2368429,Ancient,0.5886933849271879,0.5966,0.4906287632382181
2368538,Anubis,0.45336898248307145,0.4604,0.49847922354623914
2368538,Mirage,0.5656686410110883,0.5764,0.49417798653569667
2368553,Anubis,0.4873864689170978,0.4962,0.5000355658484931
